Time Period,Missing Prcp,Missing TMax,Missing TMin,Mean Prcp (cm),Prcp SD
1900-1909,359,75,102,0.160839208,0.011056432
1901-1910,405,75,100,0.154343782,0.010777964
1902-1911,405,81,105,0.154741976,0.010236164
1903-1912,235,75,80,0.157404017,0.010170318
1904-1913,228,65,71,0.154854111,0.00999884
1905-1914,221,57,65,0.157940571,0.009943849
1906-1915,221,50,59,0.15646955,0.009749001
1907-1916,193,46,53,0.15716035,0.009627763
1908-1917,135,25,28,0.155538991,0.009422512
1909-1918,68,15,20,0.152070906,0.009184495
1910-1919,66,9,10,0.151096738,0.009089667
1911-1920,43,9,10,0.150900277,0.008869726
1912-1921,43,3,4,0.156601108,0.009233982
1913-1922,43,3,2,0.154649487,0.008981378
1914-1923,23,2,2,0.150225958,0.008879263
1915-1924,24,2,2,0.151909617,0.009008602
1916-1925,24,2,2,0.148310829,0.008852696
1917-1926,24,3,2,0.141835722,0.00855514
1918-1927,24,1,0,0.145394157,0.00860547
1919-1928,26,1,0,0.141312379,0.008604804
1920-1929,45,1,0,0.139356984,0.008281894
1921-1930,22,2,0,0.137066116,0.008199476
1922-1931,45,2,0,0.133160521,0.009085067
1923-1932,45,2,0,0.133896896,0.009042205
1924-1933,45,2,0,0.131388581,0.008936944
1925-1934,44,2,0,0.127588692,0.008931246
1926-1935,44,2,0,0.128866408,0.008800766
1927-1936,44,1,0,0.127403713,0.008782794
1928-1937,44,1,0,0.126985314,0.008874541
1929-1938,42,1,0,0.129883657,0.008822119
1930-1939,23,1,0,0.131457702,0.00904754
1931-1940,23,0,11,0.135592287,0.009158612
1932-1941,0,0,14,0.134486723,0.007796054
1933-1942,0,6,20,0.137513691,0.008035331
1934-1943,0,6,20,0.147951807,0.008350277
1935-1944,0,14,20,0.146381057,0.008031836
1936-1945,0,14,20,0.147311799,0.008285873
1937-1946,0,14,20,0.155648959,0.008591202
1938-1947,0,14,20,0.154641292,0.008432719
1939-1948,0,14,20,0.157355598,0.008803542
1940-1949,0,14,20,0.155094443,0.008664781
1941-1950,0,14,9,0.152831325,0.008709501
1942-1951,0,14,6,0.155035597,0.008822774
1943-1952,0,8,0,0.14714755,0.008547315
1944-1953,0,8,0,0.148401314,0.008970837
1945-1954,0,0,0,0.14796276,0.008990207
1946-1955,0,0,0,0.148871851,0.008945354
1947-1956,0,0,0,0.150046537,0.009290929
1948-1957,0,0,0,0.152113332,0.009473737
1949-1958,0,0,0,0.143313253,0.008957484
1950-1959,0,0,0,0.141489595,0.008839177
1951-1960,0,0,0,0.143180947,0.008808807
1952-1961,0,0,0,0.141866959,0.008796581
1953-1962,0,0,0,0.151213034,0.008977649
1954-1963,0,0,0,0.150186199,0.008748488
1955-1964,0,0,0,0.149709828,0.008776064
1956-1965,0,0,0,0.151645223,0.008732171
1957-1966,0,0,0,0.146437568,0.008291558
1958-1967,0,1,1,0.142291895,0.008063879
1959-1968,0,1,1,0.15287435,0.008380711
1960-1969,0,2,2,0.160087599,0.008679867
1961-1970,0,2,2,0.160188938,0.008728777
1962-1971,0,2,2,0.167187842,0.009452912
1963-1972,0,2,2,0.166315357,0.00962375
1964-1973,0,2,2,0.159709828,0.009247152
1965-1974,0,2,2,0.158918401,0.009179768
1966-1975,0,2,2,0.159173056,0.009182856
1967-1976,0,2,2,0.152258418,0.008889137
1968-1977,0,1,1,0.168258965,0.010094246
1969-1978,0,1,1,0.163598028,0.009969456
1970-1979,0,0,0,0.165599671,0.010038535
1971-1980,0,0,0,0.163328771,0.00997469
1972-1981,0,0,0,0.15261429,0.009127325
1973-1982,0,0,0,0.149052574,0.008792491
1974-1983,0,2,2,0.150068456,0.008728602
1975-1984,0,2,2,0.156994251,0.008912149
1976-1985,0,2,2,0.152790309,0.008994516
1977-1986,0,2,2,0.165128134,0.009428707
1978-1987,0,2,2,0.149272981,0.008359077
1979-1988,0,2,2,0.145435812,0.008346365
1980-1989,0,2,2,0.136755778,0.00794667
1981-1990,0,3,2,0.137910864,0.008023429
1982-1991,0,3,2,0.149732591,0.008671526
1983-1992,0,3,2,0.148886104,0.008669043
1984-1993,0,1,0,0.151812865,0.008881727
1985-1994,0,1,0,0.151966574,0.00934588
1986-1995,0,1,0,0.154958927,0.009261767
1987-1996,183,2,1,0.146618642,0.009333452
1988-1997,547,2,1,0.149476285,0.009839029
1989-1998,639,4,3,0.154981312,0.010253966
1990-1999,639,5,4,0.155154604,0.010240538
1991-2000,639,4,4,0.156256793,0.009998433
1992-2001,639,4,4,0.148284647,0.009499375
1993-2002,639,4,4,0.146833163,0.009969516
1994-2003,639,4,4,0.142014951,0.009740341
1995-2004,639,4,4,0.142584918,0.00919258
1996-2005,639,4,4,0.140455163,0.009116969
1997-2006,456,3,3,0.142078247,0.008891742
1998-2007,92,3,3,0.144780899,0.008513077
1999-2008,0,1,1,0.147645771,0.008419335
2000-2009,0,0,0,0.153364358,0.008560666
2001-2010,0,0,0,0.159173056,0.008844413
2002-2011,0,0,0,0.157601314,0.008758581
2003-2012,0,0,0,0.157328223,0.008527544
2004-2013,0,0,0,0.161894333,0.008862142
2005-2014,0,0,0,0.154545455,0.008557621
