Time Period,Missing Prcp,Missing TMax,Missing TMin,Mean Prcp (cm),Prcp SD
1900-1909,359,75,102,0.160839207787848,0.0110564319624027
1901-1910,405,75,100,0.154343782294178,0.0107779636167145
1902-1911,405,81,105,0.154741976085588,0.010236163500436
1903-1912,235,75,80,0.157404016538689,0.0101703181310325
1904-1913,228,65,71,0.154854111405836,0.00999883977144805
1905-1914,221,57,65,0.157940570756105,0.00994384911695595
1906-1915,221,50,59,0.156469549867608,0.00974900085064062
1907-1916,193,46,53,0.157160349854227,0.00962776279765291
1908-1917,135,25,28,0.155538990825688,0.00942251196178046
1909-1918,68,15,20,0.152070906021384,0.00918449451770216
1910-1919,66,9,10,0.151096737907762,0.00908966663574769
1911-1920,43,9,10,0.15090027700831,0.00886972641798359
1912-1921,43,3,4,0.156601108033241,0.00923398220238448
1913-1922,43,3,2,0.15464948739263,0.00898137848050313
1914-1923,23,2,2,0.150225957564067,0.00887926283927741
1915-1924,24,2,2,0.151909616974373,0.00900860177871999
1916-1925,24,2,2,0.148310829429595,0.0088526960139785
1917-1926,24,3,2,0.14183572216097,0.00855514040085042
1918-1927,24,1,0,0.145394156560088,0.00860546964885588
1919-1928,26,1,0,0.141312379376896,0.00860480430402159
1920-1929,45,1,0,0.139356984478936,0.00828189410886758
1921-1930,22,2,0,0.137066115702479,0.0081994759144936
1922-1931,45,2,0,0.133160521208761,0.00908506653839883
1923-1932,45,2,0,0.13389689578714,0.00904220518694949
1924-1933,45,2,0,0.131388580931264,0.00893694365704972
1925-1934,44,2,0,0.127588691796009,0.00893124599149826
1926-1935,44,2,0,0.128866407982262,0.0088007664759963
1927-1936,44,1,0,0.127403712939873,0.00878279395066261
1928-1937,44,1,0,0.126985314491549,0.00887454124949259
1929-1938,42,1,0,0.129883656509695,0.00882211897019045
1930-1939,23,1,0,0.131457701846239,0.00904754017252393
1931-1940,23,0,11,0.135592286501377,0.00915861158520298
1932-1941,0,0,14,0.134486723241172,0.00779605392673366
1933-1942,0,6,20,0.137513691128149,0.00803533149168993
1934-1943,0,6,20,0.147951807228916,0.00835027696501376
1935-1944,0,14,20,0.146381056665754,0.00803183595974123
1936-1945,0,14,20,0.147311798521763,0.00828587288807021
1937-1946,0,14,20,0.155648959474261,0.0085912016184944
1938-1947,0,14,20,0.154641292442497,0.0084327192750185
1939-1948,0,14,20,0.157355598138516,0.00880354153600598
