Time Period,Missing Prcp,Missing TMax,Missing TMin,Mean Prcp (cm),Prcp SD
1900-1908,357,69,92,0.160875382,0.011696043
1901-1909,359,75,100,0.157107881,0.01144761
1902-1910,405,75,99,0.15859225,0.011109039
1903-1911,235,75,78,0.156877483,0.010641828
1904-1912,208,64,71,0.154888451,0.010698367
1905-1913,221,57,65,0.156905076,0.01061824
1906-1914,221,50,59,0.155471325,0.010267901
1907-1915,193,46,53,0.154441906,0.010133397
1908-1916,135,23,26,0.15989113,0.010214948
1909-1917,68,15,20,0.151709,0.009795786
1910-1918,66,9,10,0.151103102,0.009488568
1911-1919,20,9,10,0.15302112,0.009490293
1912-1920,43,3,4,0.153805855,0.009466564
1913-1921,43,3,2,0.156020345,0.009542067
1914-1922,23,2,2,0.154659926,0.009507392
1915-1923,23,2,2,0.148400735,0.009361673
1916-1924,24,2,2,0.150471814,0.009399126
1917-1925,24,2,2,0.144765553,0.009221532
1918-1926,24,1,0,0.144468281,0.009200282
1919-1927,24,1,0,0.144293595,0.009117414
1920-1928,26,1,0,0.140223789,0.008916594
1921-1929,22,1,0,0.140266462,0.008818678
1922-1930,22,2,0,0.132104135,0.008205766
1923-1931,45,2,0,0.132112893,0.009663019
1924-1932,45,2,0,0.136521739,0.009699479
1925-1933,44,2,0,0.125547333,0.009270873
1926-1934,44,2,0,0.127431391,0.009492227
1927-1935,44,1,0,0.13035461,0.009506744
1928-1936,44,1,0,0.124448212,0.009405551
1929-1937,42,1,0,0.128375963,0.009433439
1930-1938,23,1,0,0.129745711,0.009529254
1931-1939,23,0,0,0.134031863,0.00979098
1932-1940,0,0,11,0.134796229,0.008324882
1933-1941,0,0,14,0.13279282,0.008209225
1934-1942,0,6,20,0.14325829,0.008661814
1935-1943,0,6,20,0.148198966,0.008581381
1936-1944,0,14,20,0.146909976,0.008603629
1937-1945,0,14,20,0.152439915,0.008928932
1938-1946,0,14,20,0.156327959,0.00907467
1939-1947,0,14,20,0.155902038,0.008979691
1940-1948,0,14,20,0.158531022,0.009243228
1941-1949,0,14,9,0.155716459,0.009217468
1942-1950,0,14,6,0.155177974,0.009375505
1943-1951,0,8,0,0.15226042,0.009155485
1944-1952,0,8,0,0.14236618,0.008895829
1945-1953,0,0,0,0.150444174,0.009662141
1946-1954,0,0,0,0.1476331,0.009436219
1947-1955,0,0,0,0.144910253,0.00934752
1948-1956,0,0,0,0.151222628,0.010056228
1949-1957,0,0,0,0.150076057,0.009785613
1950-1958,0,0,0,0.145442653,0.009582697
1951-1959,0,0,0,0.143115303,0.009369536
1952-1960,0,0,0,0.142007299,0.009359013
1953-1961,0,0,0,0.146391847,0.00944351
1954-1962,0,0,0,0.145488287,0.008904585
1955-1963,0,0,0,0.152914512,0.009384029
1956-1964,0,0,0,0.148564477,0.009237943
1957-1965,0,0,0,0.146686949,0.00865697
1958-1966,0,0,0,0.144916337,0.008671691
1959-1967,0,1,1,0.148941284,0.008774186
1960-1968,0,1,1,0.158090024,0.00905785
1961-1969,0,2,2,0.161904472,0.009219163
1962-1970,0,2,2,0.162363858,0.009279595
1963-1971,0,2,2,0.164140554,0.010001771
1964-1972,0,2,2,0.163409367,0.009959219
1965-1973,0,2,2,0.164027989,0.009925798
1966-1974,0,2,2,0.156644357,0.00975962
1967-1975,0,2,2,0.160836629,0.009703681
1968-1976,0,1,1,0.155988443,0.00961482
1969-1977,0,1,1,0.166038941,0.010775876
1970-1978,0,0,0,0.161989656,0.01057055
1971-1979,0,0,0,0.167916033,0.010739148
1972-1980,0,0,0,0.158077859,0.009930688
1973-1981,0,0,0,0.148913903,0.009408027
1974-1982,0,0,0,0.151569821,0.009438542
1975-1983,0,2,2,0.154195315,0.009411437
1976-1984,0,2,2,0.154224453,0.009444511
1977-1985,0,2,2,0.161593798,0.009835522
1978-1986,0,2,2,0.152263566,0.008688586
1979-1987,0,2,2,0.150139535,0.00893178
1980-1988,0,2,2,0.139476131,0.008550262
1981-1989,0,2,2,0.138415504,0.008396663
1982-1990,0,3,2,0.141817054,0.00868566
1983-1991,0,3,2,0.149668217,0.009273165
1984-1992,0,1,0,0.150282083,0.009379214
1985-1993,0,1,0,0.148372093,0.009375562
1986-1994,0,1,0,0.153325221,0.009843132
1987-1995,0,1,0,0.150362032,0.009640421
1988-1996,183,2,1,0.149476285,0.009839029
1989-1997,547,2,1,0.15571161,0.010748212
1990-1998,639,4,3,0.160965865,0.011353409
1991-1999,639,4,4,0.158227308,0.011051496
1992-2000,639,4,4,0.147281892,0.010127967
1993-2001,639,4,4,0.149177657,0.010316663
1994-2002,639,4,4,0.144212568,0.010686893
1995-2003,639,4,4,0.136109387,0.009579669
1996-2004,639,4,4,0.138751454,0.009770324
1997-2005,456,3,3,0.14455477,0.009462187
1998-2006,92,3,3,0.142078247,0.008891742
1999-2007,0,1,1,0.144526924,0.008772021
2000-2008,0,0,0,0.151368613,0.009096384
2001-2009,0,0,0,0.15458777,0.009244002
2002-2010,0,0,0,0.159595376,0.009344549
2003-2011,0,0,0,0.160635838,0.008970641
2004-2012,0,0,0,0.160751217,0.009161621
2005-2013,0,0,0,0.158965622,0.009258459
2006-2014,0,0,0,0.15477335,0.009082607
