"STATION","STATION_NAME","DATE","PRCP","TMAX","TMIN"
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-01,0,-94,-183
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-02,0,-39,-250
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-03,0,-28,-217
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-04,0,-28,-161
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-05,0,6,-183
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-06,0,56,-94
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-07,0,11,-78
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-08,0,67,-72
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-09,25,44,-94
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-10,0,6,-178
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-11,0,-22,-133
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-12,13,0,-117
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-13,0,89,-94
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-14,0,33,-78
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-15,0,-6,-67
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-16,0,33,-39
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-17,0,6,-39
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-18,0,56,-106
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-19,0,133,-56
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-01-20,0,61,-39
