STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930101,0,-22,-78
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930102,0,-44,-250
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930103,-9999,-72,-206
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930104,0,17,-78
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930105,0,22,-228
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930106,-9999,-33,-161
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930107,0,-117,-183
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930108,0,33,-194
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930109,0,17,-233
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930110,-9999,-150,-239
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930111,-9999,-44,-167
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930112,0,-144,-228
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930113,0,-133,-289
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930114,0,-172,-300
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930115,0,-150,-239
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930116,0,-139,-267
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930117,0,-56,-211
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930118,0,-67,-256
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930119,0,6,-178
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930120,0,-6,-94
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930121,0,6,-200
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930122,0,6,-156
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930123,0,-44,-178
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930124,0,17,-128
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930125,-9999,-111,-200
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930126,0,-200,-317
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930127,0,-194,-294
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930128,-9999,-194,-228
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930129,0,-194,-333
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930130,0,-161,-311
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930131,0,-100,-289
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930201,0,-294,-378
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930202,102,-161,-311
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930203,0,-194,-350
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930204,0,-156,-333
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930205,13,-89,-256
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930206,0,-256,-328
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930207,0,-206,-317
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930208,0,-11,-278
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930209,76,-11,-128
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930210,0,-100,-239
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930211,0,-56,-289
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930212,0,28,-139
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930213,0,17,-22
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930214,152,11,-200
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930215,0,-44,-244
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930216,0,-17,-111
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930217,0,-17,-228
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930218,0,-11,-183
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930219,0,-17,-83
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930220,0,6,-133
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930221,0,6,-122
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930222,0,-17,-183
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930223,0,-22,-117
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930224,0,-72,-233
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930225,0,-106,-244
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930226,0,-50,-222
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930227,0,-111,-172
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930228,0,-39,-194
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930301,0,11,-194
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930302,0,6,-172
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930303,0,-94,-250
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930304,0,-61,-261
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930305,0,6,-228
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930306,-9999,0,-194
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930307,0,44,-178
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930308,0,44,-44
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930309,0,61,-39
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930310,0,56,0
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930311,0,28,-39
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930312,-9999,17,-50
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930313,-9999,-11,-128
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930314,0,-128,-211
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930315,0,-94,-283
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930316,-9999,-33,-178
